Series Name,Series Code,Country Name,Country Code,"2012 [YR2012] =AVERAGE(IF(ISBLANK(2012[YR2012]:2012[YR2012]), """", 2012[YR2012]:2012[YR2012))",2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Afghanistan,AFG,167000000,179000000,121000000,86000000,62000000,16000000,50000000,85000000,75000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Albania,ALB,1623000000,1670000000,1849000000,1613000000,1821000000,2050000000,2306000000,2458000000,1243000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Algeria,DZA,295000000,326000000,316000000,347000000,246000000,171000000,196500000,140000000,50000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,American Samoa,ASM,3456000,3456000,3456000,3456000,22000000,22000000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Andorra,AND,3456000,3456000,3456000,3456000,3456000,3456000,3456000,1910000000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Angola,AGO,711000000,1241000000,1597000000,1171000000,628000000,884000000,557000000,395000000,19000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Antigua and Barbuda,ATG,3456000,3456000,803000000,802000000,844000000,820000000,854000000,992000000,416000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Argentina,ARG,5665000000,5199000000,5645000000,5441000000,5466000000,5830000000,5999000000,5654000000,1702000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Armenia,ARM,853000000,905000000,994000000,956000000,1037000000,1224000000,1358000000,1553000000,303000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Aruba,ABW,1412000000,1506000000,1625000000,1659000000,1757000000,1855000000,2035000000,2109000000,1077000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Australia,AUS,34137000000,32889000000,35736000000,36249000000,39059000000,43975000000,47327000000,47953000000,26234000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Austria,AUT,3456000,3456000,3456000,20422000000,20965000000,22424000000,25413000000,25924000000,15362000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Azerbaijan,AZE,2634000000,2618000000,2713000000,2535000000,2855000000,3214000000,2830000000,2004099976,340000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,"Bahamas, The",BHS,2333000000,2305000000,2336000000,2554000000,3091000000,2951000000,3756000000,4150000000,1007000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Bahrain,BHR,1752000000,1875000000,1913000000,2827000000,4021000000,4380000000,3834000000,3860000000,724000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Bangladesh,BGD,105000000,131000000,154000000,150300003.1,214300003.1,348000000,357000000,391000000,217899993.9
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Barbados,BRB,947000000,988000000,910000000,974000000,1071000000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Belarus,BLR,986000000,1156000000,1230000000,1013000000,1019000000,1124500000,1221000000,1290000000,542000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Belgium,BEL,13704000000,14534000000,15249000000,8975000000,8784000000,9636000000,10319000000,10581000000,7447000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Belize,BLZ,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Benin,BEN,174000000,193000000,153000000,148000000,129000000,160000000,175000000,240860000.6,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Bermuda,BMU,448000000,447000000,407000000,370000000,440000000,513000000,583000000,601000000,94000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Bhutan,BTN,93000000,116000000,99000000,120000000,139000000,153000000,121000000,120000000,84000000
