Date,Shape of You,Despacito,Something Just Like This,HUMBLE.,Unforgettable
2017-12-20,4436628,3154413.0,2169795.0,2687930.0,2664331.0
2017-12-21,4510806,3240941.0,2175124.0,2732839.0,2729016.0
2017-12-22,4516401,3336412.0,1955405.0,2737098.0,2746256.0
2017-12-23,4392917,3332468.0,1827557.0,2317933.0,2372778.0
2017-12-24,4115734,3084918.0,1482265.0,1979313.0,1998051.0
2017-12-25,3575347,2945233.0,1380813.0,1638493.0,1754546.0
2017-12-26,3874765,3008858.0,1952557.0,2035487.0,2044976.0
2017-12-27,4393658,3463788.0,2241642.0,2445535.0,2423038.0
2017-12-28,4531610,3498889.0,2379535.0,2603003.0,2668312.0
2017-12-29,4661519,3661065.0,2510770.0,2604563.0,2825661.0
2017-12-30,4707603,3912257.0,2505685.0,2566709.0,2808529.0
2017-12-31,7073032,8203454.0,3514602.0,2787752.0,3792953.0
2018-01-01,4865387,5557165.0,2179506.0,2368321.0,2537274.0
2018-01-02,4541816,3980200.0,2368870.0,2505241.0,2683769.0
2018-01-03,4596993,3890385.0,2363422.0,2587620.0,2753557.0
2018-01-04,4447076,3512667.0,2345804.0,2575748.0,2710101.0
2018-01-05,4492978,3450315.0,2408365.0,2685857.0,2869783.0
2018-01-06,4416476,3394284.0,2188035.0,2559044.0,2743748.0
2018-01-07,4009104,3020789.0,1908129.0,2350985.0,2441045.0
2018-01-08,4135505,2755266.0,2023251.0,2523265.0,2622693.0
2018-01-09,4168506,2791601.0,2058016.0,2727678.0,2627334.0
